KombinationsID,Position,Strategie,Gewinne,Zuge,Hat_Gekickt,Wurde_Gekickt,Token_in_Winspot_gesetzt
22,Player 1,strategies.DefensiveStrategy,19,216,91,73,256
22,Player 2,strategies.DefensiveStrategy,15,216,66,76,258
22,Player 3,strategies.MoveLastStrategy,67,216,49,98,338
22,Player 4,strategies.RandomStrategy,0,216,136,95,16
23,Player 1,strategies.DefensiveStrategy,44,491,402,1546,294
23,Player 2,strategies.DefensiveStrategy,37,491,327,1381,281
23,Player 3,strategies.MoveLastStrategy,19,491,287,1618,181
23,Player 4,strategies.AggressiveStrategy,0,491,4069,540,27
24,Player 1,strategies.DefensiveStrategy,40,247,83,90,312
24,Player 2,strategies.DefensiveStrategy,31,247,77,93,287
24,Player 3,strategies.RandomStrategy,0,247,118,109,16
24,Player 4,strategies.DefensiveStrategy,31,247,91,77,295
25,Player 1,strategies.DefensiveStrategy,38,285,131,287,308
25,Player 2,strategies.DefensiveStrategy,40,285,110,237,311
25,Player 3,strategies.RandomStrategy,0,285,146,356,17
25,Player 4,strategies.MixedStrategy,25,285,613,120,258
26,Player 1,strategies.DefensiveStrategy,13,208,77,89,249
26,Player 2,strategies.DefensiveStrategy,13,208,58,67,248
26,Player 3,strategies.RandomStrategy,0,208,114,107,3
26,Player 4,strategies.MoveFirstStrategy,75,208,95,81,370
27,Player 1,strategies.DefensiveStrategy,18,224,122,95,271
27,Player 2,strategies.DefensiveStrategy,15,224,105,97,251
27,Player 3,strategies.RandomStrategy,0,224,103,108,10
27,Player 4,strategies.MoveLastStrategy,67,224,81,111,343
28,Player 1,strategies.DefensiveStrategy,58,267,76,78,341
28,Player 2,strategies.DefensiveStrategy,42,267,88,101,308
28,Player 3,strategies.RandomStrategy,0,267,87,96,24
28,Player 4,strategies.RandomStrategy,0,267,132,108,26
29,Player 1,strategies.DefensiveStrategy,57,535,384,1595,326
29,Player 2,strategies.DefensiveStrategy,44,535,296,1436,292
29,Player 3,strategies.RandomStrategy,0,535,482,1849,5
29,Player 4,strategies.AggressiveStrategy,0,535,4311,593,8
30,Player 1,strategies.DefensiveStrategy,31,424,266,1156,249
30,Player 2,strategies.DefensiveStrategy,29,424,275,1148,266
30,Player 3,strategies.AggressiveStrategy,0,424,3126,484,3
30,Player 4,strategies.DefensiveStrategy,40,424,376,1255,287
31,Player 1,strategies.DefensiveStrategy,43,478,286,1320,296
31,Player 2,strategies.DefensiveStrategy,43,478,308,1325,286
31,Player 3,strategies.AggressiveStrategy,0,478,3285,736,11
31,Player 4,strategies.MixedStrategy,15,478,828,1326,183
32,Player 1,strategies.DefensiveStrategy,17,391,243,1100,225
32,Player 2,strategies.DefensiveStrategy,25,391,253,1046,230
32,Player 3,strategies.AggressiveStrategy,0,391,2958,417,3
32,Player 4,strategies.MoveFirstStrategy,59,391,355,1246,325
33,Player 1,strategies.DefensiveStrategy,37,438,321,1157,279
33,Player 2,strategies.DefensiveStrategy,28,438,307,1174,263
33,Player 3,strategies.AggressiveStrategy,0,438,3103,452,8
33,Player 4,strategies.MoveLastStrategy,36,438,312,1260,260
34,Player 1,strategies.DefensiveStrategy,51,526,371,1402,307
34,Player 2,strategies.DefensiveStrategy,49,526,348,1417,317
34,Player 3,strategies.AggressiveStrategy,0,526,4183,639,3
34,Player 4,strategies.RandomStrategy,0,526,585,2029,18
35,Player 1,strategies.DefensiveStrategy,53,663,414,2265,306
35,Player 2,strategies.DefensiveStrategy,48,663,435,2120,313
35,Player 3,strategies.AggressiveStrategy,0,663,4231,2081,2
35,Player 4,strategies.AggressiveStrategy,0,663,3750,2364,16
36,Player 1,strategies.DefensiveStrategy,30,250,102,220,297
36,Player 2,strategies.MixedStrategy,18,250,466,133,220
36,Player 3,strategies.DefensiveStrategy,25,250,128,245,279
36,Player 4,strategies.DefensiveStrategy,28,250,111,209,289
37,Player 1,strategies.DefensiveStrategy,35,288,148,405,295
37,Player 2,strategies.MixedStrategy,14,288,521,296,227
37,Player 3,strategies.DefensiveStrategy,38,288,146,362,301
37,Player 4,strategies.MixedStrategy,15,288,543,295,236
38,Player 1,strategies.DefensiveStrategy,19,222,114,209,265
38,Player 2,strategies.MixedStrategy,5,222,407,99,188
38,Player 3,strategies.DefensiveStrategy,15,222,120,248,240
38,Player 4,strategies.MoveFirstStrategy,62,222,120,205,348
39,Player 1,strategies.DefensiveStrategy,31,246,133,214,292
39,Player 2,strategies.MixedStrategy,7,246,528,149,198
39,Player 3,strategies.DefensiveStrategy,20,246,136,260,255
39,Player 4,strategies.MoveLastStrategy,42,246,114,288,267
40,Player 1,strategies.DefensiveStrategy,35,273,142,247,297
40,Player 2,strategies.MixedStrategy,28,273,556,127,257
40,Player 3,strategies.DefensiveStrategy,40,273,105,269,308
40,Player 4,strategies.RandomStrategy,0,273,169,329,17
41,Player 1,strategies.DefensiveStrategy,53,519,346,1574,309
41,Player 2,strategies.MixedStrategy,8,519,839,1353,174
41,Player 3,strategies.DefensiveStrategy,39,519,315,1512,286
41,Player 4,strategies.AggressiveStrategy,0,519,3695,756,26
42,Player 1,strategies.DefensiveStrategy,38,286,119,346,303
42,Player 2,strategies.MixedStrategy,10,286,506,306,199
42,Player 3,strategies.MixedStrategy,24,286,558,299,237
42,Player 4,strategies.DefensiveStrategy,32,286,165,397,290
43,Player 1,strategies.DefensiveStrategy,47,331,177,557,318
43,Player 2,strategies.MixedStrategy,13,331,608,511,220
43,Player 3,strategies.MixedStrategy,19,331,578,460,217
43,Player 4,strategies.MixedStrategy,25,331,623,458,253
44,Player 1,strategies.DefensiveStrategy,23,260,121,343,267
44,Player 2,strategies.MixedStrategy,7,260,517,274,173
44,Player 3,strategies.MixedStrategy,9,260,501,292,177
44,Player 4,strategies.MoveFirstStrategy,65,260,157,387,348
45,Player 1,strategies.DefensiveStrategy,38,284,168,360,302
45,Player 2,strategies.MixedStrategy,14,284,583,300,228
45,Player 3,strategies.MixedStrategy,9,284,552,321,185
45,Player 4,strategies.MoveLastStrategy,42,284,147,469,256
46,Player 1,strategies.DefensiveStrategy,50,313,165,385,327
46,Player 2,strategies.MixedStrategy,31,313,635,297,260
46,Player 3,strategies.MixedStrategy,19,313,653,364,242
46,Player 4,strategies.RandomStrategy,0,313,256,663,16
47,Player 1,strategies.DefensiveStrategy,60,577,369,1684,337
47,Player 2,strategies.MixedStrategy,17,577,896,1545,200
47,Player 3,strategies.MixedStrategy,24,577,954,1539,212
47,Player 4,strategies.AggressiveStrategy,0,577,3716,1167,39
48,Player 1,strategies.DefensiveStrategy,6,226,106,204,233
48,Player 2,strategies.MixedStrategy,7,226,408,106,183
48,Player 3,strategies.MoveFirstStrategy,69,226,113,216,355
48,Player 4,strategies.DefensiveStrategy,22,226,110,211,258
49,Player 1,strategies.DefensiveStrategy,17,259,119,341,255
49,Player 2,strategies.MixedStrategy,8,259,541,305,176
49,Player 3,strategies.MoveFirstStrategy,69,259,171,371,360
49,Player 4,strategies.MixedStrategy,10,259,493,307,184
50,Player 1,strategies.DefensiveStrategy,16,220,106,213,246
50,Player 2,strategies.MixedStrategy,2,220,468,126,158
50,Player 3,strategies.MoveFirstStrategy,38,220,128,249,308
50,Player 4,strategies.MoveFirstStrategy,49,220,120,234,314
51,Player 1,strategies.DefensiveStrategy,14,226,100,220,251
51,Player 2,strategies.MixedStrategy,6,226,475,127,189
51,Player 3,strategies.MoveFirstStrategy,48,226,132,235,324
51,Player 4,strategies.MoveLastStrategy,35,226,90,215,242
52,Player 1,strategies.DefensiveStrategy,15,240,120,252,250
52,Player 2,strategies.MixedStrategy,15,240,501,113,215
52,Player 3,strategies.MoveFirstStrategy,71,240,112,232,361
52,Player 4,strategies.RandomStrategy,1,240,147,283,19
53,Player 1,strategies.DefensiveStrategy,28,421,309,1263,260
53,Player 2,strategies.MixedStrategy,3,421,711,1099,138
53,Player 3,strategies.MoveFirstStrategy,70,421,275,1129,345
53,Player 4,strategies.AggressiveStrategy,0,421,2850,654,33
54,Player 1,strategies.DefensiveStrategy,20,245,123,229,266
54,Player 2,strategies.MixedStrategy,12,245,486,130,207
54,Player 3,strategies.MoveLastStrategy,45,245,103,282,281
54,Player 4,strategies.DefensiveStrategy,26,245,146,217,280
55,Player 1,strategies.DefensiveStrategy,28,280,179,396,289
55,Player 2,strategies.MixedStrategy,12,280,528,282,200
55,Player 3,strategies.MoveLastStrategy,43,280,119,442,270
55,Player 4,strategies.MixedStrategy,18,280,580,286,225
56,Player 1,strategies.DefensiveStrategy,17,224,126,213,254
56,Player 2,strategies.MixedStrategy,7,224,422,121,184
56,Player 3,strategies.MoveLastStrategy,28,224,92,230,232
56,Player 4,strategies.MoveFirstStrategy,52,224,125,201,328
57,Player 1,strategies.DefensiveStrategy,21,239,138,217,260
57,Player 2,strategies.MixedStrategy,14,239,504,120,213
57,Player 3,strategies.MoveLastStrategy,36,239,102,267,266
57,Player 4,strategies.MoveLastStrategy,33,239,112,252,266
58,Player 1,strategies.DefensiveStrategy,20,256,157,244,255
58,Player 2,strategies.MixedStrategy,19,256,549,139,215
58,Player 3,strategies.MoveLastStrategy,66,256,104,276,331
58,Player 4,strategies.RandomStrategy,0,256,185,336,17
59,Player 1,strategies.DefensiveStrategy,53,509,408,1547,309
59,Player 2,strategies.MixedStrategy,12,509,894,1408,159
59,Player 3,strategies.MoveLastStrategy,35,509,295,1701,208
59,Player 4,strategies.AggressiveStrategy,0,509,3876,817,27
60,Player 1,strategies.DefensiveStrategy,41,295,111,240,313
60,Player 2,strategies.MixedStrategy,27,295,615,139,270
60,Player 3,strategies.RandomStrategy,0,295,192,439,22
60,Player 4,strategies.DefensiveStrategy,37,295,129,229,314
61,Player 1,strategies.DefensiveStrategy,47,325,156,414,323
61,Player 2,strategies.MixedStrategy,31,325,655,335,266
61,Player 3,strategies.RandomStrategy,0,325,243,683,14
