KombinationsID,Position,Strategie,Gewinne,Zuge,Hat_Gekickt,Wurde_Gekickt,Token_in_Winspot_gesetzt
110,Player 4,strategies.MoveFirstStrategy,47,199,110,92,326
111,Player 1,strategies.DefensiveStrategy,13,204,103,87,247
111,Player 2,strategies.MoveLastStrategy,38,204,75,100,274
111,Player 3,strategies.DefensiveStrategy,12,204,108,90,230
111,Player 4,strategies.MoveLastStrategy,40,204,98,107,276
112,Player 1,strategies.DefensiveStrategy,15,219,98,95,260
112,Player 2,strategies.MoveLastStrategy,68,219,58,91,332
112,Player 3,strategies.DefensiveStrategy,20,219,102,81,257
112,Player 4,strategies.RandomStrategy,0,219,120,111,17
113,Player 1,strategies.DefensiveStrategy,35,455,371,1394,285
113,Player 2,strategies.MoveLastStrategy,12,455,260,1475,123
113,Player 3,strategies.DefensiveStrategy,53,455,314,1078,317
113,Player 4,strategies.AggressiveStrategy,0,455,3473,471,22
114,Player 1,strategies.DefensiveStrategy,15,246,130,256,261
114,Player 2,strategies.MoveLastStrategy,47,246,83,276,286
114,Player 3,strategies.MixedStrategy,15,246,537,125,233
114,Player 4,strategies.DefensiveStrategy,25,246,156,249,272
115,Player 1,strategies.DefensiveStrategy,30,303,149,398,296
115,Player 2,strategies.MoveLastStrategy,37,303,134,526,259
115,Player 3,strategies.MixedStrategy,15,303,662,304,238
115,Player 4,strategies.MixedStrategy,18,303,658,375,218
116,Player 1,strategies.DefensiveStrategy,10,226,105,222,248
116,Player 2,strategies.MoveLastStrategy,25,226,88,266,202
116,Player 3,strategies.MixedStrategy,9,226,483,101,190
116,Player 4,strategies.MoveFirstStrategy,60,226,128,215,341
117,Player 1,strategies.DefensiveStrategy,19,240,128,232,265
117,Player 2,strategies.MoveLastStrategy,35,240,129,320,232
117,Player 3,strategies.MixedStrategy,5,240,552,128,180
117,Player 4,strategies.MoveLastStrategy,45,240,130,259,296
118,Player 1,strategies.DefensiveStrategy,31,268,114,242,288
118,Player 2,strategies.MoveLastStrategy,52,268,86,334,291
118,Player 3,strategies.MixedStrategy,17,268,717,137,241
118,Player 4,strategies.RandomStrategy,0,268,204,408,16
119,Player 1,strategies.DefensiveStrategy,67,598,379,1706,349
119,Player 2,strategies.MoveLastStrategy,17,598,316,2036,169
119,Player 3,strategies.MixedStrategy,16,598,1243,1569,208
119,Player 4,strategies.AggressiveStrategy,0,598,4349,976,25
120,Player 1,strategies.DefensiveStrategy,11,199,80,72,238
120,Player 2,strategies.MoveLastStrategy,38,199,51,86,268
120,Player 3,strategies.MoveFirstStrategy,42,199,112,99,326
120,Player 4,strategies.DefensiveStrategy,12,199,108,94,245
121,Player 1,strategies.DefensiveStrategy,9,232,137,263,231
121,Player 2,strategies.MoveLastStrategy,26,232,92,283,209
121,Player 3,strategies.MoveFirstStrategy,61,232,134,214,344
121,Player 4,strategies.MixedStrategy,7,232,517,120,201
122,Player 1,strategies.DefensiveStrategy,6,191,67,86,232
122,Player 2,strategies.MoveLastStrategy,33,191,58,80,250
122,Player 3,strategies.MoveFirstStrategy,29,191,91,76,294
122,Player 4,strategies.MoveFirstStrategy,38,191,93,67,323
123,Player 1,strategies.DefensiveStrategy,4,198,98,83,235
123,Player 2,strategies.MoveLastStrategy,40,198,74,81,283
123,Player 3,strategies.MoveFirstStrategy,31,198,88,81,304
123,Player 4,strategies.MoveLastStrategy,34,198,83,98,270
124,Player 1,strategies.DefensiveStrategy,15,209,105,97,257
124,Player 2,strategies.MoveLastStrategy,42,209,50,90,276
124,Player 3,strategies.MoveFirstStrategy,44,209,80,77,320
124,Player 4,strategies.RandomStrategy,0,209,145,116,8
125,Player 1,strategies.DefensiveStrategy,30,403,310,1233,253
125,Player 2,strategies.MoveLastStrategy,6,403,222,1228,114
125,Player 3,strategies.MoveFirstStrategy,67,403,292,1006,340
125,Player 4,strategies.AggressiveStrategy,0,403,3090,447,10
126,Player 1,strategies.DefensiveStrategy,17,211,97,86,268
126,Player 2,strategies.MoveLastStrategy,36,211,72,95,269
126,Player 3,strategies.MoveLastStrategy,39,211,89,110,296
126,Player 4,strategies.DefensiveStrategy,11,211,111,78,256
127,Player 1,strategies.DefensiveStrategy,19,247,158,266,268
127,Player 2,strategies.MoveLastStrategy,33,247,93,287,250
127,Player 3,strategies.MoveLastStrategy,42,247,108,277,273
127,Player 4,strategies.MixedStrategy,7,247,603,132,213
128,Player 1,strategies.DefensiveStrategy,10,198,106,99,243
128,Player 2,strategies.MoveLastStrategy,31,198,56,89,260
128,Player 3,strategies.MoveLastStrategy,30,198,101,116,262
128,Player 4,strategies.MoveFirstStrategy,34,198,127,86,310
